timestamp,text,,,,,
12/25/2021 13:05,@ymahfi @danawallet Sama.... Anc*k kok... Mana urgent,,,,,
12/25/2021 13:04,@danawallet Skrng top up dana via mandiri ga bs langsung masuk ta?,,,,,
12/25/2021 13:01,@danawallet @AlfianNowhere Hallo danaaa!!! Saldo saya kok tbtb hangus yaaa! Padahal baru top up,,,,,
12/25/2021 12:59,@danawallet cek dm plisssssss,,,,,
12/25/2021 12:59,bukan lagi habis tapi emang ga ada :( @danawallet https://t.co/M7glyEUGKM,,,,,
12/25/2021 12:54,@danawallet cek dm ka,,,,,
12/25/2021 12:49,@danawallet App dana gimana sih gue top dana kok saldo gue yg sebelumnya hangus?,,,,,
12/25/2021 12:46,Halo permisi @danawallet ini gimana tadi ngisi 200k gamasuk, padahal dari rekening uda ada transaksi berhasil, begi… https://t.co/zGwhPqSDDf,,,
12/25/2021 12:46,@danawallet Oke min udah saya isi ,,,,,
12/25/2021 12:40,@danawallet baru top up ke dana tapi gak masuk-masuk padahal berhasil dari m-banking mandirinya, solusi gimana?,,,,
12/25/2021 12:28,@danawallet Min, cek dm min, makasih,,,
12/25/2021 12:28,Min gimana ya, error terus daritadi. Udah ada duit masuk tapi yang masih disini saldonya ga nambah. Mau tf error. T… https://t.co/2rBCkPIiJP,,,,
12/25/2021 12:27,@danawallet Min, cek DM ya,,,,
12/25/2021 12:27,Jadi kan ceritanya lagi denger lagu. Kok tiba2 ke stop apa airpod gue rusak kan. Pas di cek, i tunes gue mati 😂, lu… https://t.co/rm8WY0dM5F,,,
12/25/2021 12:23,@danawallet saya transaksi dr jam 15:18:56 dari mandiri ke dana ga masuk2. Udh lapor tp gaada respon yg pasti. Tlg cek dm,,,,,
12/25/2021 12:20,@woilahgas @danawallet Sama nih kasusnya baru aja. Isi pertama kali gak masuk. Pas kedua sama ketiga masuk,,,,,
12/25/2021 12:20,@danawallet halloz kok saya ini isi dana gak masuk ya pake livin mandiri https://t.co/rjCTBR8Oz1,,,,,
12/25/2021 12:15,@danawallet min maaf udah transaksi 2 kali dari siang belum masuk masuk😭😭 udah dipastiin nomornya bener, udah berku… https://t.co/nahLb6Hw3J,,,,
12/25/2021 12:15,aplikasi DANA tidak user friendly, masa mau top up shop**pay malah force close terus?? solusinya gimana nih saya bu… https://t.co/mNo7m9u0yS,,,,
12/25/2021 12:14,@danawallet @tarorubby Cek dm min, thank,,,,
12/25/2021 11:57,@danawallet halooo ini gimanaaa ya aku topup kok ga masuk ke saldo dana? Padahal status tupup udah success,,,,,
12/25/2021 11:45,@danawallet dari jam 10 pagi topup dana lewat mandiri, sampe sekarang belum masuk, tolong dong solusinya, penting banget nih uang,,
12/25/2021 11:34,@danawallet min mohon baca dm saya dan segera ditindak lanjuti email saya,,,,,
12/25/2021 11:30,@danawallet min mohon baca dm saya ya,,,,,
12/25/2021 11:29,@danawallet min mohon baca dm saya ya 🙏🏻,,,,,
12/25/2021 11:22,@danawallet @Embunryanaputri adminn, tolong ditindaklanjuti🙏 udah coba email sama wa sampai saat ini masih pending juga,,,,
